Name,Last Updated,Tracked,Actions,,
17p94w7i-113,6/4/2020 21:10,1,,, TVM_SERIAL like '17p94w7i-113' or 
1l86i0qg-1144,6/4/2020 21:10,1,,, TVM_SERIAL like '1l86i0qg-1144' or 
147jb0bd-1233,6/4/2020 21:10,1,,, TVM_SERIAL like '147jb0bd-1233' or 
1l9gzl34-1444,6/4/2020 21:10,1,,, TVM_SERIAL like '1l9gzl34-1444' or 
1nvzy0ci-1226,6/4/2020 21:10,1,,, TVM_SERIAL like '1nvzy0ci-1226' or 
0t8dsvvo-1101,6/4/2020 21:10,1,,, TVM_SERIAL like '0t8dsvvo-1101' or 
0v4l53y0-,6/4/2020 21:10,1,,, TVM_SERIAL like '0v4l53y0-' or 
1013d195-1040,6/4/2020 21:10,1,,, TVM_SERIAL like '1013d195-1040' or 
0cos9s0w-1011,6/4/2020 21:10,1,,, TVM_SERIAL like '0cos9s0w-1011' or 
-1116,6/4/2020 21:10,,,, TVM_SERIAL like '-1116' or 
00nd1sh0-1011,6/4/2020 21:10,1,,, TVM_SERIAL like '00nd1sh0-1011' or 
0irp6rop-1334,6/4/2020 21:10,1,,, TVM_SERIAL like '0irp6rop-1334' or 
0geqssdq-umshini,6/4/2020 21:10,1,,, TVM_SERIAL like '0geqssdq-umshini' or 
02ltg795-799,6/4/2020 21:10,1,,, TVM_SERIAL like '02ltg795-799' or 
0cqyhub2-umshini,6/4/2020 21:10,1,,, TVM_SERIAL like '0cqyhub2-umshini' or 
9iobfnom-umshini,6/4/2020 21:10,1,,, TVM_SERIAL like '9iobfnom-umshini' or 
6p88e4ul-879,6/4/2020 20:45,1,,, TVM_SERIAL like '6p88e4ul-879' or 
9l77wc0y-umshini,6/4/2020 19:53,1,,, TVM_SERIAL like '9l77wc0y-umshini' or 
mbjwjfkd-umshini,6/4/2020 19:39,1,,, TVM_SERIAL like 'mbjwjfkd-umshini' or 
-umshini,6/4/2020 19:36,,,, TVM_SERIAL like '-umshini' or 
3d4s199e-umshini,6/4/2020 19:18,1,,, TVM_SERIAL like '3d4s199e-umshini' or 
c8v8u5hj-umshini,6/4/2020 18:53,1,,, TVM_SERIAL like 'c8v8u5hj-umshini' or 
x7mwo5pp-umshini,6/4/2020 18:18,1,,, TVM_SERIAL like 'x7mwo5pp-umshini' or 
xsqgcnrv-umshini,6/4/2020 17:47,1,,, TVM_SERIAL like 'xsqgcnrv-umshini' or 
vmj1k6gl-umshini,6/4/2020 17:47,1,,, TVM_SERIAL like 'vmj1k6gl-umshini' or 
mmbs9zsr-1081,6/4/2020 17:45,1,,, TVM_SERIAL like 'mmbs9zsr-1081' or 
08oo2x0a-1050,6/4/2020 17:44,1,,, TVM_SERIAL like '08oo2x0a-1050' or 
zywldi4x-1433,6/4/2020 17:44,1,,, TVM_SERIAL like 'zywldi4x-1433' or 
zewiyc1d-916,6/4/2020 17:44,1,,, TVM_SERIAL like 'zewiyc1d-916' or 
z2wdpux3-1325,6/4/2020 17:44,1,,, TVM_SERIAL like 'z2wdpux3-1325' or 
z9a2owfv-1274,6/4/2020 17:44,1,,, TVM_SERIAL like 'z9a2owfv-1274' or 
wn8umanv-916,6/4/2020 17:43,1,,, TVM_SERIAL like 'wn8umanv-916' or 
uytg2n0d-umshini,6/4/2020 17:42,1,,, TVM_SERIAL like 'uytg2n0d-umshini' or 
u95aii1x-umshini,6/4/2020 17:42,1,,, TVM_SERIAL like 'u95aii1x-umshini' or 
t53lr16f-790,6/4/2020 17:42,1,,, TVM_SERIAL like 't53lr16f-790' or 
sjgzfnex-umshini,6/4/2020 17:41,1,,, TVM_SERIAL like 'sjgzfnex-umshini' or 
quua4prt-umshini,6/4/2020 17:41,1,,, TVM_SERIAL like 'quua4prt-umshini' or 
llhbs3gf-827,6/4/2020 17:41,1,,, TVM_SERIAL like 'llhbs3gf-827' or 
lsbdv3lb-1081,6/4/2020 17:41,1,,, TVM_SERIAL like 'lsbdv3lb-1081' or 
gwv9xo3w-928,6/4/2020 17:40,1,,, TVM_SERIAL like 'gwv9xo3w-928' or 
ep39qb33-1313,6/4/2020 17:40,1,,, TVM_SERIAL like 'ep39qb33-1313' or 
b4w4wxhi-umshini,6/4/2020 17:38,1,,, TVM_SERIAL like 'b4w4wxhi-umshini' or 
32greyfw-1084,6/4/2020 17:36,1,,, TVM_SERIAL like '32greyfw-1084' or 
